Unnamed: 0,Formula,modformula,In,Tl,La,Sr,Mn,Ni,Ru,Pd,Hf,Cs,Sc,Co,Si,Fe,Li,Cl,Yb,Te,N,Ti,Cd,Zr,Y,Ga,Cr,Pr,Tm,Br,Ca,Mg,Rb,Au,Nd,Ce,Ho,I,Ba,Se,Pb,Ge,Gd,Tb,Dy,Cu,Na,Sb,Bi,P,As,Sm,Zn,Al,Sn,Ag,Nb,Mo,V,S,K,Lu,O,Eu,Ta,B,Er,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference,sum_elements
5146,Ag0.97Cr0.99Bi0.01Se2,Ag0.97Cr0.99Bi0.01Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249370277078086,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0025188916876574,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,703,156,9792,0.39,,,,1
5147,Ag0.97Cr0.99Bi0.01Se2,Ag0.97Cr0.99Bi0.01Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249370277078086,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0025188916876574,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,753,188,7618,0.4,,,,1
5148,Ag0.97Cr0.97Bi0.03Se2,Ag0.97Cr0.97Bi0.03Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0075566750629722,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,303,78,24870,0.49,,,,1
5149,Ag0.97Cr0.97Bi0.03Se2,Ag0.97Cr0.97Bi0.03Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0075566750629722,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,403,85,18008,0.43,,,,1
5150,Ag0.97Cr0.97Bi0.03Se2,Ag0.97Cr0.97Bi0.03Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0075566750629722,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,503,106,15260,0.41,,,,1
5151,Ag0.97Cr0.97Bi0.03Se2,Ag0.97Cr0.97Bi0.03Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0075566750629722,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,603,120,15410,0.4,,,,1
5152,Ag0.97Cr0.97Bi0.03Se2,Ag0.97Cr0.97Bi0.03Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0075566750629722,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,703,152,12877,0.4,,,,1
5153,Ag0.97Cr0.97Bi0.03Se2,Ag0.97Cr0.97Bi0.03Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0075566750629722,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,753,181,10468,0.4,,,,1
5154,Ag0.97Cr0.95Bi0.05Se2,Ag0.97Cr0.95Bi0.05Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239294710327456,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0125944584382871,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,303,88,21364,0.54,,,,1
5155,Ag0.97Cr0.95Bi0.05Se2,Ag0.97Cr0.95Bi0.05Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239294710327456,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0125944584382871,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,403,97,14780,0.47,,,,1
5156,Ag0.97Cr0.95Bi0.05Se2,Ag0.97Cr0.95Bi0.05Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239294710327456,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0125944584382871,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,503,116,12020,0.47,,,,1
5157,Ag0.97Cr0.95Bi0.05Se2,Ag0.97Cr0.95Bi0.05Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239294710327456,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0125944584382871,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,603,127,12336,0.46,,,,1
5158,Ag0.97Cr0.95Bi0.05Se2,Ag0.97Cr0.95Bi0.05Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239294710327456,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0125944584382871,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,703,163,8902,0.46,,,,1
5159,Ag0.97Cr0.95Bi0.05Se2,Ag0.97Cr0.95Bi0.05Se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239294710327456,0,0,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0,0,0,0,0,0,0,0,0.0125944584382871,0,0,0,0,0,0,0.244332493702771,0,0,0,0,0,0,0,0,0,0,0,753,188,6601,0.46,,,,1
5160,SnTe,SnTe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,323,37,761798,8.13,,,,1
5161,SnTe,SnTe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,423,41,562921,7.55,,,,1
5162,SnTe,SnTe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,523,50,421348,6.7,,,,1
